whois_regDate,whois_expDate,whois_updatedDate,dot_count,url_len,digit_count,special_count,hyphen_count,double_slash,single_slash,at_the_rate,protocol,protocol_count
2884,37,347,3,56,8,0,1,0,6,0,0,0
4851,261,6,3,50,0,0,1,0,4,0,0,0
-1,-1,-1,2,206,104,2,0,0,5,0,0,0
3811,571,172,3,69,2,1,0,0,7,0,0,0
7487,181,580,5,62,30,0,0,0,1,0,0,0
7250,54,674,3,23,1,0,0,0,1,0,0,0
1719,106,258,3,44,0,0,0,0,3,0,0,0
7876,523,411,3,95,5,2,0,0,4,0,0,0
5345,132,232,4,57,0,0,0,0,4,0,0,0
-1,-1,-1,3,28,1,0,0,0,1,0,0,0
-1,-1,-1,2,23,1,0,0,0,2,0,0,0
4478,1365,765,3,33,1,0,0,0,1,0,0,0
4289,93,244,2,33,1,0,1,0,0,0,0,0
5514,329,-1,2,17,2,0,0,0,0,0,0,0
5205,272,-1,2,19,1,0,0,0,1,0,0,0
4478,1365,765,3,30,1,0,0,0,1,0,0,0
5205,272,-1,2,18,1,0,1,0,0,0,0,0
5061,114,234,2,186,87,2,0,0,4,0,0,0
5205,272,-1,2,16,1,0,1,0,0,0,0,0
-1,-1,-1,3,66,23,0,0,0,5,0,0,0
5205,272,-1,2,14,1,0,0,0,0,0,0,0
7876,523,411,2,79,5,2,0,0,2,0,0,0
2962,690,40,2,181,77,5,1,0,2,0,0,0
2885,36,334,5,116,3,3,3,0,4,0,0,0
6281,2484,735,1,19,0,0,0,0,1,0,0,0
-1,-1,-1,4,63,0,0,3,0,3,0,0,0
1257,203,161,2,34,0,0,0,0,2,0,0,0
-1,-1,-1,3,62,0,0,1,0,7,0,0,0
-1,-1,-1,15,177,52,0,2,0,4,0,0,0
7866,533,1020,4,97,2,1,0,0,2,0,0,0
634,95,234,1,33,0,0,0,0,3,0,0,0
4741,372,8,10,103,21,0,0,0,3,0,0,0
200,164,199,3,101,0,11,2,0,4,0,0,0
-1,-1,-1,2,106,20,3,0,0,9,0,0,0
3359,658,38,2,43,0,2,1,0,2,0,0,0
2721,200,180,6,127,29,0,2,0,4,0,0,0
2721,200,180,6,103,26,0,1,0,2,0,0,0
-1,-1,-1,3,35,0,0,0,0,2,0,0,0
2557,364,1,2,35,0,0,0,0,3,0,0,0
2076,114,250,3,192,83,5,1,0,3,0,0,0
3170,510,-1,6,237,122,2,1,0,4,0,0,0
2557,364,1,3,66,1,0,1,0,5,0,0,0
-1,-1,-1,8,112,1,11,1,0,4,0,0,0
-1,-1,-1,8,100,1,8,1,0,4,0,0,0
3170,510,-1,5,93,33,0,1,0,4,0,0,0
200,164,199,3,113,0,14,2,0,4,0,0,0
3027,259,106,2,42,6,0,0,0,1,0,0,0
-1,-1,-1,2,123,0,4,6,0,9,0,0,0
-1,-1,-1,12,128,45,0,1,0,1,0,0,0
2885,36,334,5,117,3,4,3,0,4,0,0,0
2697,224,496,3,203,83,5,2,0,3,0,0,0
6681,623,89,2,28,0,0,0,0,1,0,0,0
3813,203,-1,3,209,76,5,2,0,5,0,0,0
264,100,264,2,47,0,0,1,1,4,0,0,0
6501,72,261,2,55,18,0,0,0,5,0,0,0
6501,72,261,2,57,20,0,0,0,5,0,0,0
2721,200,180,7,136,29,0,2,0,4,0,0,0
326,38,95,4,97,3,0,0,0,12,1,0,0
242,122,242,2,61,0,0,2,0,5,0,0,0
-1,-1,-1,3,142,40,6,1,0,2,0,0,0
5150,328,67,2,27,5,0,0,0,2,0,0,0
-1,-1,-1,2,28,5,0,0,0,3,0,0,0
-1,-1,-1,4,58,6,0,2,0,5,0,0,0
5691,518,130,2,52,0,3,1,0,3,0,0,0
6501,72,261,1,46,18,0,0,0,5,0,0,0
6501,72,261,2,35,0,0,0,0,3,0,0,0
-1,-1,-1,5,71,0,0,0,0,5,0,0,0
-1,-1,-1,5,70,0,0,0,0,5,0,0,0
7564,104,274,3,94,12,18,0,0,2,0,0,0
-1,-1,-1,7,173,43,6,3,0,4,0,0,0
7876,523,411,2,79,3,2,0,0,2,0,0,0
6281,2484,735,1,19,1,0,0,0,1,0,0,0
3697,319,74,3,35,2,0,0,0,2,0,0,0
3041,245,139,3,41,5,2,0,0,1,0,0,0
1005,89,-1,9,330,136,6,3,0,4,0,0,0
3220,66,305,1,124,56,9,0,0,5,0,0,0
5205,272,-1,4,46,3,1,0,0,1,0,0,0
1005,89,-1,9,326,134,5,3,0,4,0,0,0
-1,-1,-1,3,188,87,6,1,0,3,0,0,0
7564,104,274,3,58,12,9,0,0,2,0,0,0
-1,-1,-1,3,50,0,1,1,0,2,0,0,0
-1,-1,-1,3,192,87,7,1,0,3,0,0,0
3604,47,317,4,55,0,0,1,0,4,0,0,0
617,112,229,2,32,0,0,0,0,2,0,0,0
1005,89,-1,9,330,134,6,3,0,4,0,0,0
3170,510,-1,6,237,117,2,1,0,4,0,0,0
3170,510,-1,6,237,125,2,1,0,4,0,0,0
3170,510,-1,6,211,103,2,1,0,4,0,0,0
5205,272,-1,4,48,5,0,0,0,2,0,0,0
2350,205,159,11,230,79,6,3,0,3,0,0,0
3170,510,-1,5,60,14,0,1,0,3,0,0,0
3170,510,-1,5,67,14,0,1,0,4,0,0,0
3170,510,-1,5,93,36,0,1,0,4,0,0,0
3170,510,-1,6,65,15,0,1,0,3,0,0,0
3170,510,-1,6,237,109,2,1,0,4,0,0,0
-1,-1,-1,6,88,0,5,1,0,4,0,0,0
-1,-1,-1,6,89,0,5,1,0,4,0,0,0
3483,168,196,11,115,31,0,0,0,3,0,0,0
3483,168,196,11,115,28,0,0,0,3,0,0,0
7732,301,123,7,78,0,3,2,0,4,0,0,0
-1,-1,-1,6,85,0,4,1,0,4,0,0,0
1871,319,3,4,65,12,9,0,0,2,0,0,0
5049,429,253,3,61,12,9,0,0,2,0,0,0
139,225,139,3,58,12,9,0,0,2,0,0,0
-1,-1,-1,6,84,0,4,1,0,4,0,0,0
3375,276,73,7,78,3,0,2,0,6,0,0,0
5627,2457,693,3,22,0,0,0,0,1,0,0,0
5183,294,479,3,33,0,0,0,0,1,0,0,0
5183,294,479,2,38,0,0,0,1,4,0,0,0
-1,-1,-1,8,65,6,0,2,0,1,0,0,0
3220,432,1027,3,50,2,0,0,0,5,0,0,0
3220,432,1027,2,40,2,0,0,0,5,0,0,0
-1,-1,-1,3,73,0,1,1,0,6,0,0,0
-1,-1,-1,3,85,1,2,0,0,6,0,0,0
-1,-1,-1,3,70,1,0,0,0,6,0,0,0
5630,213,245,3,42,0,0,1,0,2,0,0,0
3401,1711,478,2,45,0,0,1,0,3,0,0,0
6902,1132,24,2,20,0,0,1,0,2,0,0,0
-1,-1,-1,1,25,0,0,1,0,1,0,0,0
7564,104,274,3,82,12,15,0,0,2,0,0,0
3311,706,138,1,66,19,0,0,0,4,0,0,0
-1,-1,-1,3,46,0,0,0,0,3,0,0,0
-1,-1,-1,1,31,0,0,0,0,1,0,0,0
2509,46,347,2,32,0,0,0,0,1,0,0,0
-1,-1,-1,4,46,0,0,0,0,4,0,0,0
-1,-1,-1,1,13,0,0,0,0,1,0,0,0
5205,272,-1,10,146,88,2,0,0,1,0,0,0
3483,168,196,12,124,32,0,0,0,3,0,0,0
2805,116,707,1,34,0,0,1,0,2,0,0,0
7141,529,172,2,63,0,0,2,0,5,0,0,0
95,1000,95,2,52,0,0,1,0,4,0,0,0
-1,-1,-1,5,56,0,1,0,0,4,0,0,0
2953,699,39,3,47,1,0,1,0,3,0,0,0
3904,337,28,4,38,2,0,2,0,1,0,0,0
671,58,303,2,21,0,0,0,0,1,0,0,0
2623,298,37,2,141,0,4,5,0,8,0,0,0
92,272,92,3,36,0,0,0,0,2,0,0,0
6281,2484,735,1,19,2,0,0,0,1,0,0,0
421,-57,14,3,55,3,0,0,0,4,0,0,0
421,-57,14,2,34,14,0,0,0,1,0,0,0
4388,360,4,4,42,0,0,0,0,2,0,0,0
617,112,229,2,33,0,0,0,1,3,0,0,0
-1,-1,-1,3,98,9,1,2,0,7,0,0,0
-1,-1,-1,4,80,0,0,2,0,6,0,0,0
-1,-1,-1,4,33,0,0,0,0,2,0,0,1
2730,191,139,4,66,4,0,2,0,5,0,0,0
3483,168,196,11,115,28,0,0,0,3,0,0,0
-1,-1,-1,2,86,0,0,2,0,7,0,0,0
7876,523,411,2,79,3,2,0,0,2,0,0,0
6233,341,32,3,72,12,12,1,0,2,0,0,0
-1,-1,-1,2,46,0,1,1,0,3,0,0,0
-1,-1,-1,3,33,0,0,0,0,1,0,0,0
4402,346,66,1,45,1,0,1,0,4,0,0,0
-1,-1,-1,5,177,4,17,1,0,5,0,0,1
3483,168,196,11,115,30,0,0,0,3,0,0,0
649,80,304,3,109,3,7,2,0,3,0,0,0
3495,155,203,1,24,0,0,0,0,3,0,0,0
-1,-1,-1,11,119,0,0,0,0,3,0,0,0
-1,-1,-1,8,136,6,0,0,0,1,0,0,0
4796,316,49,5,45,0,0,1,0,4,0,0,0
-1,-1,-1,7,142,21,0,6,0,3,0,0,0
2713,208,155,3,40,0,0,0,0,2,0,0,0
-1,-1,-1,3,43,1,0,0,0,4,0,0,0
147,217,147,1,25,0,0,0,0,3,0,0,0
2913,374,21,3,150,38,6,2,0,5,0,0,0
3483,168,196,11,115,28,0,0,0,3,0,0,0
3483,168,196,11,81,11,0,0,0,1,0,0,0
3483,168,196,11,115,29,0,0,0,3,0,0,0
3483,168,196,11,82,11,0,0,0,2,0,0,0
3483,168,196,11,115,31,0,0,0,3,0,0,0
2654,267,97,2,35,0,0,0,0,2,0,0,0
-1,-1,-1,3,31,0,1,1,0,1,0,0,0
6030,178,189,2,33,0,0,0,0,3,0,0,0
6961,708,362,3,41,0,0,0,0,2,0,0,0
-1,-1,-1,5,83,8,7,0,0,1,0,0,0
5710,1620,-1,5,71,1,0,1,0,6,0,0,1
3857,159,219,14,174,47,0,1,0,3,0,0,0
3857,159,219,14,173,46,0,1,0,3,0,0,0
6215,359,3,4,75,1,1,1,0,5,0,0,0
5472,736,251,7,73,8,6,0,0,1,0,0,0
5472,736,251,6,74,8,6,1,0,1,0,0,0
103,261,101,5,246,124,1,0,0,4,0,0,0
4079,303,2412,4,51,0,0,1,0,2,0,0,0
-1,-1,-1,6,85,2,5,0,0,3,0,0,0
2247,308,165,3,40,0,0,0,0,3,0,0,0
3225,61,305,5,107,10,0,0,0,1,0,0,0
3857,159,219,13,164,46,0,1,0,3,0,0,0
3857,159,219,13,141,44,0,0,0,1,0,0,0
3857,159,219,14,172,45,0,1,0,3,0,0,0
3321,331,57,2,55,0,0,1,0,5,0,0,0
2651,270,106,2,54,0,1,0,1,6,0,0,0
6281,2484,735,1,19,2,0,0,0,1,0,0,0
-1,-1,-1,3,27,0,0,0,0,1,0,0,0
3321,331,57,4,73,0,0,2,0,5,0,0,0
3321,331,57,3,65,0,0,1,0,5,0,0,0
7866,533,1020,3,88,1,1,0,0,2,0,0,0
7866,533,1020,4,105,7,1,0,0,2,0,0,0
3321,331,57,4,76,0,0,2,0,5,0,0,0
5130,348,17,4,48,7,0,0,0,1,0,0,0
4453,294,95,1,18,0,0,0,0,2,0,0,0
7564,104,274,3,70,12,12,0,0,2,0,0,0
4185,563,510,2,15,1,0,0,0,1,0,0,0
-1,-1,-1,2,39,0,0,1,0,2,0,0,0
-1,-1,-1,2,40,0,0,1,0,3,0,0,0
3094,192,145,3,42,0,0,0,0,3,0,0,0
5049,429,253,3,73,12,12,0,0,2,0,0,0
5472,736,251,10,84,8,5,0,0,1,0,0,0
-1,-1,-1,3,75,3,0,1,0,4,0,0,0
139,225,139,3,70,12,12,0,0,2,0,0,0
3581,70,660,4,48,0,0,1,0,3,0,0,0
-1,-1,-1,3,77,5,0,1,0,4,0,0,0
-1,-1,-1,3,34,1,0,0,0,2,0,0,0
1045,49,164,3,64,0,2,0,0,4,0,0,0
332,32,332,3,67,0,1,1,0,5,0,0,0
4555,192,203,3,42,4,0,0,0,2,0,0,0
-1,-1,-1,6,60,0,0,0,0,3,0,0,0
2786,135,259,6,70,0,0,0,0,3,0,0,0
1005,89,-1,9,326,128,5,3,0,4,0,0,0
1005,89,-1,9,326,133,5,3,0,4,0,0,0
132,232,59,2,33,0,0,0,0,3,0,0,0
3420,231,137,4,78,13,0,6,0,5,0,0,0
3420,231,137,4,78,13,0,6,0,5,0,0,0
3420,231,137,4,78,13,0,6,0,5,0,0,0
3420,231,137,4,77,12,0,6,0,5,0,0,0
3925,822,265,6,139,36,0,7,0,4,0,0,0
3925,822,265,6,106,17,0,7,0,3,0,0,0
-1,-1,-1,3,47,0,0,0,0,1,0,0,0
-1,-1,-1,2,32,0,0,0,0,3,0,0,0
7866,533,1020,3,103,7,2,0,0,2,0,0,0
-1,-1,-1,2,66,3,0,1,0,4,0,0,0
-1,-1,-1,2,44,2,0,0,0,2,0,0,0
3643,374,5,1,108,21,1,1,1,10,0,0,0
3643,374,5,1,71,0,0,1,0,7,0,0,0
-1,-1,-1,6,68,1,0,0,0,5,0,0,0
-1,-1,-1,6,67,1,0,0,0,5,0,0,0
2960,327,68,2,30,0,0,0,0,2,0,0,0
2691,230,123,2,46,0,0,1,0,2,0,0,0
-1,-1,-1,4,99,4,0,1,0,5,0,0,0
-1,-1,-1,3,75,3,0,1,0,4,0,0,0
-1,-1,-1,4,63,1,0,0,0,2,0,0,0
-1,-1,-1,5,77,0,0,0,0,3,0,0,0
-1,-1,-1,6,110,7,5,0,0,1,0,0,1
4849,263,106,4,54,4,1,1,0,3,0,0,0
4849,263,106,4,35,5,0,0,0,2,0,0,0
7502,166,228,7,98,0,1,2,0,9,0,0,0
4849,263,106,4,35,5,0,0,0,2,0,0,0
4849,263,106,4,40,4,0,0,0,3,0,0,0
3420,231,137,4,78,13,0,6,0,5,0,0,0
-1,-1,-1,2,50,1,0,1,0,4,0,0,0
205,159,199,1,16,0,0,0,0,1,0,0,0
-1,-1,-1,2,40,0,0,0,0,4,0,0,0
-1,-1,-1,1,12,4,0,0,0,1,0,0,0
7876,523,411,2,79,6,2,0,0,2,0,0,0
245,119,245,2,38,0,0,0,0,3,0,0,0
7500,1165,1061,8,151,17,5,1,0,7,0,0,0
1055,39,181,4,41,0,0,2,0,1,0,0,0
7046,257,129,3,82,0,0,3,0,6,0,0,0
-1,-1,-1,2,186,73,5,2,0,3,0,0,0
-1,-1,-1,3,32,0,0,1,0,1,0,0,0
7866,533,1020,3,36,1,0,0,0,3,0,0,0
3235,51,307,2,186,81,5,0,0,2,0,0,0
120,244,60,1,54,0,0,1,0,5,0,0,0
-1,-1,-1,5,69,0,1,1,0,7,0,0,0
7168,136,227,2,64,0,1,1,0,7,0,0,0
5081,397,4,4,125,36,5,1,0,2,0,0,0
2718,203,226,3,40,2,0,0,0,4,0,0,0
4959,884,192,8,105,36,0,1,0,2,0,0,0
4444,303,61,13,124,0,0,5,0,1,0,0,0
-1,-1,-1,8,147,49,0,2,0,3,0,0,0
5150,328,67,4,64,0,0,1,0,5,0,0,0
4519,228,165,2,29,0,0,0,0,2,0,0,0
758,337,28,1,29,0,0,1,0,3,0,0,0
2507,48,323,4,77,0,0,2,0,6,0,0,0
-1,-1,-1,3,60,0,0,1,0,7,0,0,0
340,24,9,2,14,0,0,0,0,1,0,0,0
4959,884,192,9,108,36,0,1,0,2,0,0,0
7761,1003,496,2,107,0,0,0,0,18,0,0,0
3346,305,59,2,197,63,5,3,0,2,0,0,0
-1,-1,-1,3,37,0,0,0,0,2,0,0,0
-1,-1,-1,2,123,48,6,1,0,3,0,0,0
7322,455,1255,3,44,8,0,0,0,4,0,0,0
-1,-1,-1,3,42,0,0,0,0,2,0,0,0
-1,-1,-1,9,123,26,0,2,0,2,0,0,0
3511,140,77,4,34,0,0,0,0,2,0,0,0
3321,331,57,3,59,0,0,1,0,4,0,0,0
2623,298,37,2,142,0,4,5,0,9,0,0,0
3511,140,77,4,221,110,5,1,0,3,0,0,0
3672,345,510,2,21,0,0,0,0,2,0,0,0
-1,-1,-1,8,96,2,0,0,0,9,0,0,0
5150,328,67,4,65,0,0,1,1,6,0,0,0
5864,710,188,3,93,0,4,0,0,5,0,0,0
-1,-1,-1,4,32,0,0,0,0,1,0,0,0
-1,-1,-1,4,52,0,0,0,0,2,0,0,0
7876,523,411,3,89,3,2,0,0,4,0,0,0
-1,-1,-1,3,72,0,4,2,0,3,0,0,0
202,528,28,2,79,1,0,5,0,5,0,0,0
3177,1205,103,4,66,3,0,1,0,7,0,0,0
-1,-1,-1,4,38,0,0,0,0,2,0,0,0
-1,-1,-1,5,58,8,1,1,0,1,0,0,0
-1,-1,-1,4,50,0,0,0,0,2,0,0,0
-1,-1,-1,4,43,4,0,0,0,1,0,0,0
-1,-1,-1,5,57,4,0,0,0,1,0,0,0
616,113,285,2,20,4,0,0,0,2,0,0,0
5396,812,419,6,57,1,0,0,0,3,0,0,0
-1,-1,-1,4,67,0,0,0,0,3,0,0,0
-1,-1,-1,3,38,1,0,1,0,3,0,0,0
1005,89,-1,9,330,134,6,3,0,4,0,0,0
1340,120,268,1,61,17,0,0,0,3,0,0,0
-1,-1,-1,6,73,7,3,2,0,3,0,0,0
-1,-1,-1,6,58,7,0,1,0,3,0,0,0
1005,89,-1,9,330,134,6,3,0,4,0,0,0
7518,516,748,2,38,0,0,0,0,2,0,0,0
1712,113,251,9,146,6,0,1,0,4,0,0,0
-1,-1,-1,3,24,0,0,0,0,1,0,0,0
-1,-1,-1,9,151,5,0,2,0,4,0,0,0
209,155,208,1,24,0,0,0,0,2,0,0,0
1005,89,-1,8,162,53,0,3,0,4,0,0,0
1005,89,-1,8,129,35,0,3,0,3,0,0,0
-1,-1,-1,1,13,2,0,0,0,1,0,0,0
-1,-1,-1,2,19,0,0,0,0,1,0,0,0
4864,248,110,2,38,2,1,0,0,4,0,0,0
677,52,181,3,40,0,0,0,0,2,0,0,0
6732,-1,-1,4,65,0,1,0,0,3,0,0,0
3002,284,33,1,24,0,0,1,0,3,0,0,0
4686,61,297,2,33,0,0,0,0,2,0,0,0
1005,89,-1,8,162,56,0,3,0,4,0,0,0
-1,-1,-1,11,224,95,4,1,0,2,0,0,0
1552,273,116,2,34,0,0,0,0,3,0,0,0
788,306,54,4,80,0,0,4,0,6,0,0,0
788,306,54,4,81,0,0,4,0,7,0,0,0
-1,-1,-1,16,184,50,0,2,0,4,0,0,0
1340,120,268,1,31,0,0,0,0,3,0,0,0
1340,120,268,2,37,0,0,0,0,2,0,0,0
-1,-1,-1,3,184,81,5,1,0,2,0,0,0
4265,168,226,1,15,1,0,0,0,1,0,0,0
7081,681,51,8,77,18,1,3,0,3,0,0,0
7081,681,51,8,78,19,1,3,0,3,0,0,0
2770,151,201,9,143,26,0,3,0,6,0,0,0
3220,66,307,3,42,0,0,0,1,3,0,0,0
2602,347,-1,8,183,52,0,1,0,9,0,0,0
4478,1365,765,2,19,1,0,0,0,1,0,0,0
2008,526,-1,11,192,28,0,4,0,8,0,0,0
2008,526,-1,11,192,28,0,4,0,8,0,0,0
-1,-1,-1,3,48,2,0,0,0,2,0,0,0
3938,78,144,2,18,4,0,0,0,1,0,0,0
6144,64,299,3,184,83,5,1,0,2,0,0,0
-1,-1,-1,12,128,42,0,0,0,2,0,0,0
-1,-1,-1,12,127,42,0,0,0,1,0,0,0
-1,-1,-1,2,55,10,0,1,0,5,0,0,0
5487,356,9,4,205,77,5,1,0,5,0,0,0
-1,-1,-1,3,44,0,0,0,0,3,0,0,0
-1,-1,-1,3,191,83,5,2,0,2,0,0,0
313,51,-1,6,149,41,9,0,0,4,0,0,0
-1,-1,-1,2,27,0,0,0,0,1,0,0,0
-1,-1,-1,4,56,0,0,0,0,8,0,0,0
-1,-1,-1,3,42,17,0,0,0,4,0,0,0
-1,-1,-1,3,42,17,0,0,0,4,0,0,0
-1,-1,-1,3,42,17,0,0,0,4,0,0,0
-1,-1,-1,3,42,17,0,0,0,4,0,0,0
-1,-1,-1,6,163,5,28,1,0,1,0,0,0
-1,-1,-1,3,42,17,0,0,0,4,0,0,0
-1,-1,-1,3,42,17,0,0,0,4,0,0,0
2542,13,356,3,75,0,0,1,0,7,0,0,0
-1,-1,-1,11,224,94,4,1,0,2,0,0,0
-1,-1,-1,15,175,50,0,2,0,4,0,0,0
-1,-1,-1,11,122,46,0,0,0,1,0,0,0
5293,184,-1,2,17,3,0,0,0,1,0,0,0
5293,184,-1,2,16,3,0,0,0,0,0,0,0
-1,-1,-1,11,228,94,5,1,0,2,0,0,0
193,171,3,12,201,89,0,7,0,2,0,0,0
313,51,-1,6,145,41,8,0,0,4,0,0,0
-1,-1,-1,16,184,50,0,2,0,4,0,0,0
2602,347,-1,8,183,59,0,1,0,9,0,0,0
-1,-1,-1,16,184,50,0,2,0,4,0,0,0
2602,347,-1,8,183,58,0,1,0,9,0,0,0
2602,347,-1,8,150,35,0,1,0,8,0,0,0
-1,-1,-1,15,175,50,0,2,0,4,0,0,0
-1,-1,-1,15,153,49,0,1,0,2,0,0,0
-1,-1,-1,16,184,50,0,2,0,4,0,0,0
615,114,207,2,30,0,0,0,0,2,0,0,0
4974,138,590,1,51,9,2,2,0,3,0,0,0
-1,-1,-1,2,21,0,0,0,0,2,0,0,0
-1,-1,-1,2,20,0,0,0,0,1,0,0,0
8792,340,85,5,100,20,3,5,0,5,0,0,0
78,286,77,6,135,10,0,11,0,6,0,0,0
78,286,77,3,122,0,1,11,0,5,0,0,0
-1,-1,-1,10,127,31,0,3,0,1,0,0,0
-1,-1,-1,1,18,0,0,1,0,1,0,0,0
2602,347,-1,8,183,54,0,1,0,9,0,0,0
-1,-1,-1,2,46,2,0,0,0,4,0,0,0
-1,-1,-1,3,42,17,0,0,0,4,0,0,0
-1,-1,-1,3,42,17,0,0,0,4,0,0,0
-1,-1,-1,3,42,17,0,0,0,4,0,0,0
-1,-1,-1,3,42,17,0,0,0,4,0,0,0
-1,-1,-1,3,42,17,0,0,0,4,0,0,0
-1,-1,-1,3,42,17,0,0,0,4,0,0,0
-1,-1,-1,3,42,17,0,0,0,4,0,0,0
-1,-1,-1,3,42,17,0,0,0,4,0,0,0
-1,-1,-1,3,42,17,0,0,0,4,0,0,0
-1,-1,-1,3,42,17,0,0,0,4,0,0,0
5585,258,114,2,18,0,0,0,0,1,0,0,0
313,51,-1,6,52,0,0,0,0,3,0,0,0
-1,-1,-1,2,40,0,0,0,0,2,0,0,0
-1,-1,-1,5,150,38,6,1,0,3,0,0,0
-1,-1,89,5,127,0,11,0,0,4,0,0,0
3857,159,217,6,83,4,0,1,0,3,0,0,0
568,161,539,3,43,0,0,0,0,5,0,0,0
-1,-1,-1,1,35,0,0,0,0,3,0,0,0
-1,-1,-1,4,36,1,0,0,0,2,0,0,0
-1,-1,-1,2,30,0,0,0,0,2,0,0,0
-1,-1,-1,5,58,0,0,1,0,4,0,0,0
7848,1081,272,2,98,0,4,5,0,7,0,0,0
3375,276,73,6,73,3,0,2,0,6,0,0,0
3375,276,73,6,72,3,0,2,0,5,0,0,0
2562,359,18,1,39,0,0,0,0,4,0,0,0
-1,-1,-1,4,47,1,0,0,0,1,0,0,0
-1,-1,-1,2,81,6,3,0,0,2,0,0,0
-1,-1,-1,2,83,7,3,1,0,2,0,0,0
-1,-1,-1,3,38,1,0,0,0,1,0,0,0
-1,-1,-1,1,13,0,0,0,0,1,0,0,0
840,509,18,1,98,19,0,1,0,6,0,0,0
-1,-1,-1,1,37,8,0,2,0,3,0,0,0
3406,245,105,3,52,0,1,0,0,4,0,0,0
-1,-1,-1,7,64,11,0,3,0,3,0,0,0
6725,235,84,2,84,11,1,1,0,6,0,0,0
5854,1085,25,2,84,2,0,2,0,7,0,0,0
5854,1085,25,2,84,2,0,2,0,7,0,0,0
5854,1085,25,2,84,2,0,2,0,7,0,0,0
3594,57,88,1,29,0,0,1,0,3,0,0,0
-1,-1,-1,1,33,0,0,1,0,3,0,0,0
-1,-1,-1,2,19,3,0,0,0,1,0,0,0
-1,-1,-1,2,87,4,4,1,0,2,0,0,0
8792,340,85,5,108,20,3,5,0,5,0,0,0
1333,127,236,4,57,0,0,0,0,6,0,0,0
-1,-1,-1,5,125,12,4,1,0,7,0,0,0
4291,91,641,2,49,0,0,0,0,2,0,0,0
4291,91,641,2,51,0,0,0,0,2,0,0,0
4291,91,641,2,50,0,0,0,0,2,0,0,0
4291,91,641,2,45,0,0,0,0,2,0,0,0
4291,91,641,2,45,0,0,0,0,2,0,0,0
4775,338,39,1,32,0,0,0,0,4,0,0,0
-1,-1,-1,2,21,0,0,0,0,1,0,0,0
78,286,77,6,135,10,0,11,0,6,0,0,0
4598,149,2395,4,50,1,0,0,0,5,0,0,0
403,326,23,6,224,57,12,4,0,10,0,0,0
-1,-1,-1,3,72,2,0,0,0,5,0,0,0
-1,-1,-1,3,87,2,2,0,0,5,0,0,0
4166,582,111,1,75,0,0,1,1,8,0,0,0
